FacilityID,FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,State,County,Location,NAICS
2745511,Carbon Monoxide,air,789.5074570814201,kg,2.0,NEI,2020,110000365756,Florida,Pinellas,12103,331318
2745511,Nitrogen Oxides,air,5592.34577283844,kg,2.0,NEI,2020,110000365756,Florida,Pinellas,12103,331318
2745511,PM2.5 Primary (Filt + Cond),air,7872.804092631939,kg,2.0,NEI,2020,110000365756,Florida,Pinellas,12103,331318
2745511,Sulfur Dioxide,air,19.73761838818,kg,2.0,NEI,2020,110000365756,Florida,Pinellas,12103,331318
2745511,Volatile Organic Compounds,air,180.9289245456,kg,2.0,NEI,2020,110000365756,Florida,Pinellas,12103,331318
2844411,Carbon Monoxide,air,1580.225098606,kg,5.0,NEI,2020,110000374381,Tennessee,Shelby,47157,331318
2844411,Nitrogen Oxides,air,1881.2289953380002,kg,5.0,NEI,2020,110000374381,Tennessee,Shelby,47157,331318
2844411,PM2.5 Primary (Filt + Cond),air,80.784438223104,kg,2.0,NEI,2020,110000374381,Tennessee,Shelby,47157,331318
2844411,Sulfur Dioxide,air,11.249090776,kg,5.0,NEI,2020,110000374381,Tennessee,Shelby,47157,331318
2844411,Volatile Organic Compounds,air,8118.754576232301,kg,5.0,NEI,2020,110000374381,Tennessee,Shelby,47157,331318
2994211,Carbon Monoxide,air,5642.80520244672,kg,2.0,NEI,2020,110000416014,Iowa,Scott,19163,331315
2994211,Nitrogen Oxides,air,6706.75690862716,kg,2.0,NEI,2020,110000416014,Iowa,Scott,19163,331315
2994211,PM2.5 Primary (Filt + Cond),air,910.5600115436441,kg,2.409518346041717,NEI,2020,110000416014,Iowa,Scott,19163,331315
2994211,Sulfur Dioxide,air,40.180482193235996,kg,2.0,NEI,2020,110000416014,Iowa,Scott,19163,331315
2994211,Volatile Organic Compounds,air,9426.769150165037,kg,4.151070667207703,NEI,2020,110000416014,Iowa,Scott,19163,331315
2994611,Carbon Dioxide,air,48816208.37327242,kg,5.0,NEI,2020,110000742563,Iowa,Scott,19163,331315
2994611,Carbon Monoxide,air,32855.176791780425,kg,2.0,NEI,2020,110000742563,Iowa,Scott,19163,331315
2994611,Nitrogen Oxides,air,35555.545798702624,kg,2.0,NEI,2020,110000742563,Iowa,Scott,19163,331315
2994611,PM2.5 Primary (Filt + Cond),air,37245.62189520727,kg,3.902098140774255,NEI,2020,110000742563,Iowa,Scott,19163,331315
2994611,Sulfur Dioxide,air,362.91959996720124,kg,1.672158791600198,NEI,2020,110000742563,Iowa,Scott,19163,331315
2994611,Volatile Organic Compounds,air,20171.45385136196,kg,1.340669164015321,NEI,2020,110000742563,Iowa,Scott,19163,331315
3059911,Carbon Dioxide,air,781555.801398372,kg,5.0,NEI,2020,110000492271,Pennsylvania,Lancaster,42071,331314
3059911,Carbon Monoxide,air,1768.193776734,kg,2.0,NEI,2020,110000492271,Pennsylvania,Lancaster,42071,331314
3059911,Nitrogen Oxides,air,917.073053666,kg,3.0,NEI,2020,110000492271,Pennsylvania,Lancaster,42071,331314
3059911,PM2.5 Primary (Filt + Cond),air,3947.9385332176016,kg,2.0,NEI,2020,110000492271,Pennsylvania,Lancaster,42071,331314
3059911,Sulfur Dioxide,air,3.9916128559999997,kg,2.0,NEI,2020,110000492271,Pennsylvania,Lancaster,42071,331314
3059911,Volatile Organic Compounds,air,2967.129129118,kg,3.0000000000000004,NEI,2020,110000492271,Pennsylvania,Lancaster,42071,331314
3198511,Volatile Organic Compounds,air,92039.33498144,kg,4.0,NEI,2020,110000364917,Florida,Polk,12105,331318
3293311,Carbon Monoxide,air,6447.2077257742,kg,5.0,NEI,2020,110000479296,California,San bernardino,06071,331313
3293311,Nitrogen Oxides,air,13399.1186098,kg,5.0,NEI,2020,110000479296,California,San bernardino,06071,331313
3293311,PM2.5 Primary (Filt + Cond),air,1079.4238952353612,kg,5.0,NEI,2020,110000479296,California,San bernardino,06071,331313
3293311,Sulfur Dioxide,air,71.33837711785401,kg,5.0,NEI,2020,110000479296,California,San bernardino,06071,331313
3293311,Volatile Organic Compounds,air,3030.622939175439,kg,5.000000000000001,NEI,2020,110000479296,California,San bernardino,06071,331313
3309911,Carbon Monoxide,air,173.17041756554542,kg,2.0,NEI,2020,110002648582,California,San mateo,06081,331318
3309911,Nitrogen Oxides,air,657.1773879309224,kg,2.0,NEI,2020,110002648582,California,San mateo,06081,331318
3309911,PM2.5 Primary (Filt + Cond),air,14.5289990597752,kg,2.0,NEI,2020,110002648582,California,San mateo,06081,331318
3309911,Sulfur Dioxide,air,2.65173909677908,kg,2.0,NEI,2020,110002648582,California,San mateo,06081,331318
3309911,Volatile Organic Compounds,air,351.64502396510625,kg,2.0,NEI,2020,110002648582,California,San mateo,06081,331318
3676011,Carbon Dioxide,air,2463959.1130770002,kg,2.0,NEI,2020,110005981937,Pennsylvania,Carbon,42025,331314
3676011,Carbon Monoxide,air,1714.5791586,kg,2.0,NEI,2020,110005981937,Pennsylvania,Carbon,42025,331314
3676011,Nitrogen Oxides,air,2041.165665,kg,2.0,NEI,2020,110005981937,Pennsylvania,Carbon,42025,331314
3676011,PM2.5 Primary (Filt + Cond),air,272.155422,kg,2.0,NEI,2020,110005981937,Pennsylvania,Carbon,42025,331314
3676011,Sulfur Dioxide,air,9.071847400000001,kg,2.0,NEI,2020,110005981937,Pennsylvania,Carbon,42025,331314
